"Chained CPI for All Urban Consumers, U.S. city average (C-CPI-U)",,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,SUUR0000SAH,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series Title:,"Housing in U.S. city average, all urban consumers, chained, not seasonally adjusted",,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,
Item:,Housing,,,,,,,,,,,
Base Period:,DECEMBER 1999=100,,,,,,,,,,,
Years:,1999 to 2022,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1999,,,,,,,,,,,,100.0
2000,100.7,101.4,101.8,101.8,101.9,102.8,103.4,103.6,103.7,103.7,103.6,103.6
2001,105.1,105.4,105.9,105.9,106.1,107.1,107.3,107.7,107.2,106.8,106.9,106.8
2002,107.3,107.7,108.1,108.3,108.5,109.0,109.3,109.6,109.4,109.3,109.2,109.1
2003,109.8,110.3,111.2,111.0,111.3,111.8,112.2,112.3,112.1,112.0,111.6,111.6
2004,112.5,112.8,113.4,113.6,113.9,114.6,115.0,115.2,115.2,115.1,115.0,115.1
2005,115.6,116.0,116.5,116.8,117.0,117.6,118.1,118.1,118.1,118.5,118.6,118.6
2006,119.6,119.7,120.1,120.2,120.5,121.5,122.0,122.3,122.2,121.8,121.8,122.1
2007,122.767,123.339,123.817,124.077,124.215,125.074,125.416,125.399,125.255,125.180,125.183,125.272
2008,125.966,126.434,127.280,127.644,128.164,129.269,130.131,129.985,129.584,129.189,128.667,128.495
2009,128.891,128.916,128.896,128.643,128.543,129.147,129.154,129.001,128.629,128.337,127.966,127.826
2010,128.134,128.058,128.122,127.966,128.042,128.522,128.726,128.629,128.428,128.132,127.974,128.180
2011,128.540,128.867,129.103,129.198,129.520,130.162,130.638,130.721,130.773,130.567,130.485,130.597
2012,130.944,131.026,131.235,131.392,131.569,132.227,132.324,132.424,132.540,132.444,132.480,132.617
2013,133.036,133.383,133.520,133.724,134.250,134.900,135.108,135.185,135.288,135.048,135.104,135.374
2014,136.203,136.634,137.284,137.122,137.738,138.413,138.772,138.810,138.849,138.746,138.630,138.762
2015,139.200,139.405,139.604,139.779,140.011,140.761,141.123,141.177,141.377,141.214,141.124,141.157
2016,141.661,141.936,142.220,142.419,142.966,143.827,144.134,144.333,144.663,144.757,144.719,145.039
2017,145.784,146.182,146.338,146.581,147.076,147.763,147.796,148.229,148.451,148.571,148.591,148.926
2018,149.519,149.995,150.363,150.674,151.153,151.579,151.887,152.119,152.181,152.329,152.426,152.799
2019,153.374,153.785,154.284,154.579,154.990,155.699,156.055,156.085,156.415,156.324,156.371,156.562
2020,157.285,157.666,157.630,157.715,158.086,158.643,158.945,159.188,159.344,159.373,159.520,159.735
2021,160.105,160.504,160.937,161.602,162.450,163.450,164.294,164.603,165.411,166.295,166.865,167.541
2022,168.901,169.828,170.986,171.947,173.358,175.065,175.929,177.173,,,,
